shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B00690041,50.683281,4.283877,60001
B00690041,50.683502,4.274273,70004
B00690041,50.683561,4.282112,60002
B00690041,50.683570,4.274538,70003
B00690041,50.683790,4.280683,60003
B00690041,50.683879,4.275819,70002
B00690041,50.683911,4.279904,60004
B00690041,50.683949,4.276110,60014
B00690041,50.683949,4.276110,70001
B00690041,50.683980,4.276236,60013
B00690041,50.683990,4.276289,60012
B00690041,50.684015,4.279270,60005
B00690041,50.684055,4.278950,60006
B00690041,50.684066,4.277004,60011
B00690041,50.684094,4.278622,60007
B00690041,50.684103,4.277408,60010
B00690041,50.684108,4.278316,60008
B00690041,50.684119,4.278156,60009
B00690043,50.664048,4.290226,50011
B00690043,50.664181,4.289825,50010
B00690043,50.664526,4.288785,50009
B00690043,50.664992,4.287395,50008
B00690043,50.665258,4.286629,50007
B00690043,50.665695,4.285250,50006
B00690043,50.665744,4.285094,50005
B00690043,50.665857,4.284763,50004
B00690043,50.665994,4.284361,50003
B00690043,50.666159,4.283831,50002
B00690043,50.666237,4.283585,40027
B00690043,50.666237,4.283585,50001
B00690043,50.666333,4.283281,40026
B00690043,50.666378,4.283137,40025
B00690043,50.667141,4.280777,40024
B00690043,50.667343,4.280149,40023
B00690043,50.667436,4.279863,40022
B00690043,50.667665,4.279151,40021
B00690043,50.667787,4.278793,40020
B00690043,50.667848,4.278643,40019
B00690043,50.667930,4.278443,40018
B00690043,50.667987,4.278317,40017
B00690043,50.668067,4.278164,40016
B00690043,50.668146,4.278048,40015
B00690043,50.668181,4.277998,40014
B00690043,50.668281,4.277857,40013
B00690043,50.668418,4.277678,40012
B00690043,50.668492,4.277600,40011
B00690043,50.668585,4.277527,40010
B00690043,50.668667,4.277461,40009
B00690043,50.668750,4.277409,40008
B00690043,50.668768,4.277399,40007
B00690043,50.668912,4.277315,40006
B00690043,50.669093,4.277224,40005
B00690043,50.669299,4.277135,40004
B00690043,50.669401,4.277091,40003
B00690043,50.669771,4.276978,40002
B00690043,50.670066,4.276898,30011
B00690043,50.670066,4.276898,40001
B00690043,50.670349,4.276822,30010
B00690043,50.670380,4.276810,30009
B00690043,50.671874,4.276309,30008
B00690043,50.672461,4.276113,30007
B00690043,50.672932,4.275951,30006
B00690043,50.673060,4.275907,30005
B00690043,50.673119,4.275885,30004
B00690043,50.673397,4.275793,30003
B00690043,50.674841,4.275310,30002
B00690043,50.674923,4.275282,20006
B00690043,50.674923,4.275282,30001
B00690043,50.675203,4.275187,20005
B00690043,50.675457,4.275057,20004
B00690043,50.676276,4.274780,20003
B00690043,50.677278,4.274467,20002
B00690043,50.677980,4.274271,10010
B00690043,50.677980,4.274271,20001
B00690043,50.678789,4.274046,10009
B00690043,50.679207,4.273936,10008
B00690043,50.681050,4.273402,10007
B00690043,50.681218,4.273371,10006
B00690043,50.681531,4.273285,10005
B00690043,50.681832,4.273197,10004
B00690043,50.681960,4.273160,10003
B00690043,50.682159,4.273111,10002
B00690043,50.682221,4.273094,10001
B00690048,50.595300,4.328367,30018
B00690048,50.595326,4.328267,30019
B00690048,50.595361,4.328107,30020
B00690048,50.595397,4.327917,30021
B00690048,50.595416,4.327816,30022
B00690048,50.595450,4.328398,30017
B00690048,50.595460,4.327607,30023
B00690048,50.595575,4.327061,30024
B00690048,50.595640,4.326875,30025
B00690048,50.595640,4.326875,40001
B00690048,50.595668,4.326796,40002
B00690048,50.595892,4.326211,40003
B00690048,50.596060,4.325854,40004
B00690048,50.596225,4.328529,30016
B00690048,50.596226,4.325564,40005
B00690048,50.596304,4.325436,40006
B00690048,50.596380,4.328557,30015
B00690048,50.596440,4.325298,40007
B00690048,50.596523,4.325228,40008
B00690048,50.596558,4.328591,30014
B00690048,50.596592,4.325167,40009
B00690048,50.596880,4.324980,40010
B00690048,50.596969,4.323239,50006
B00690048,50.596984,4.323325,50005
B00690048,50.596995,4.323398,50004
B00690048,50.596996,4.322935,50018
B00690048,50.596999,4.323229,50007
B00690048,50.596999,4.324915,40011
B00690048,50.597020,4.323499,50003
B00690048,50.597021,4.323215,50008
B00690048,50.597024,4.322953,50017
B00690048,50.597035,4.323198,50009
B00690048,50.597038,4.323586,50002
B00690048,50.597042,4.322980,50016
B00690048,50.597049,4.323169,50010
B00690048,50.597055,4.323013,50015
B00690048,50.597056,4.323140,50011
B00690048,50.597063,4.323037,50014
B00690048,50.597063,4.323068,50013
B00690048,50.597063,4.323099,50012
B00690048,50.597082,4.323733,40038
B00690048,50.597082,4.323733,50001
B00690048,50.597091,4.324856,40012
B00690048,50.597097,4.323785,40037
B00690048,50.597116,4.322844,50019
B00690048,50.597146,4.319010,60006
B00690048,50.597155,4.319145,60005
B00690048,50.597177,4.319623,60004
B00690048,50.597186,4.324183,40036
B00690048,50.597195,4.319853,60003
B00690048,50.597195,4.324216,40035
B00690048,50.597213,4.320018,60002
B00690048,50.597218,4.320048,50049
B00690048,50.597218,4.320048,60001
B00690048,50.597222,4.322777,50020
B00690048,50.597228,4.324786,40013
B00690048,50.597237,4.324815,40014
B00690048,50.597252,4.320255,50048
B00690048,50.597252,4.324839,40015
B00690048,50.597277,4.328666,30013
B00690048,50.597284,4.324861,40016
B00690048,50.597303,4.324590,40034
B00690048,50.597310,4.324870,40017
B00690048,50.597311,4.318909,60007
B00690048,50.597317,4.324589,40033
B00690048,50.597341,4.324874,40018
B00690048,50.597344,4.324589,40032
B00690048,50.597353,4.318865,60008
B00690048,50.597355,4.328666,30012
B00690048,50.597364,4.324871,40019
B00690048,50.597366,4.320737,50047
B00690048,50.597367,4.324594,40031
B00690048,50.597374,4.322711,50021
B00690048,50.597388,4.324601,40030
B00690048,50.597394,4.324854,40020
B00690048,50.597404,4.324613,40029
B00690048,50.597411,4.324840,40021
B00690048,50.597424,4.324634,40028
B00690048,50.597426,4.324820,40022
B00690048,50.597436,4.324793,40023
B00690048,50.597438,4.324661,40027
B00690048,50.597443,4.324685,40026
B00690048,50.597444,4.324754,40024
B00690048,50.597445,4.324724,40025
B00690048,50.597458,4.328662,30011
B00690048,50.597589,4.328638,30010
B00690048,50.597598,4.322595,50022
B00690048,50.597606,4.322631,50023
B00690048,50.597622,4.322680,50024
B00690048,50.597635,4.322699,50025
B00690048,50.597639,4.318621,60009
B00690048,50.597660,4.322720,50026
B00690048,50.597661,4.322053,50046
B00690048,50.597694,4.322732,50027
B00690048,50.597707,4.322224,50045
B00690048,50.597710,4.322245,50044
B00690048,50.597715,4.322283,50043
B00690048,50.597716,4.328595,30009
B00690048,50.597719,4.322406,50041
B00690048,50.597720,4.322326,50042
B00690048,50.597729,4.322734,50028
B00690048,50.597740,4.322410,50040
B00690048,50.597747,4.322729,50029
B00690048,50.597767,4.322713,50030
B00690048,50.597768,4.322430,50039
B00690048,50.597789,4.322454,50038
B00690048,50.597789,4.322693,50031
B00690048,50.597806,4.322663,50032
B00690048,50.597809,4.322494,50037
B00690048,50.597811,4.322646,50033
B00690048,50.597819,4.322532,50036
B00690048,50.597820,4.322615,50034
B00690048,50.597824,4.322575,50035
B00690048,50.597879,4.328523,30008
B00690048,50.597961,4.328479,30007
B00690048,50.598101,4.318247,60010
B00690048,50.598150,4.328380,30006
B00690048,50.598321,4.328232,30005
B00690048,50.598425,4.328076,30004
B00690048,50.598662,4.327696,30003
B00690048,50.598738,4.327597,30002
B00690048,50.598802,4.327527,20024
B00690048,50.598802,4.327527,30001
B00690048,50.598869,4.317605,60011
B00690048,50.598876,4.327446,20023
B00690048,50.598951,4.327385,20022
B00690048,50.599044,4.327343,20021
B00690048,50.599173,4.327282,20020
B00690048,50.599238,4.327245,20019
B00690048,50.599343,4.317228,60012
B00690048,50.599343,4.317228,70001
B00690048,50.599356,4.317216,70002
B00690048,50.599520,4.317106,70003
B00690048,50.599646,4.317037,70004
B00690048,50.599798,4.316994,70005
B00690048,50.599903,4.316988,70006
B00690048,50.600029,4.316997,70007
B00690048,50.600055,4.326367,20018
B00690048,50.600156,4.326258,20017
B00690048,50.600166,4.317002,70008
B00690048,50.600219,4.326185,20016
B00690048,50.600299,4.326298,20015
B00690048,50.600368,4.326408,20014
B00690048,50.600374,4.327870,20009
B00690048,50.600380,4.327938,20008
B00690048,50.600385,4.317053,70009
B00690048,50.600388,4.328014,20007
B00690048,50.600409,4.334596,10001
B00690048,50.600411,4.328157,20006
B00690048,50.600412,4.326473,20013
B00690048,50.600434,4.326505,20012
B00690048,50.600458,4.326524,20011
B00690048,50.600483,4.326545,20010
B00690048,50.600579,4.334627,10002
B00690048,50.600601,4.329240,20005
B00690048,50.600627,4.334636,10003
B00690048,50.600644,4.334699,10004
B00690048,50.600674,4.334757,10005
B00690048,50.600676,4.334760,10006
B00690048,50.600678,4.334762,10007
B00690048,50.600708,4.334780,10008
B00690048,50.600732,4.329154,20004
B00690048,50.600768,4.334788,10009
B00690048,50.600796,4.334784,10010
B00690048,50.600822,4.334773,10011
B00690048,50.600840,4.334750,10012
B00690048,50.600844,4.330476,20002
B00690048,50.600868,4.334694,10013
B00690048,50.600870,4.334687,10015
B00690048,50.600870,4.334691,10014
B00690048,50.600875,4.334616,10016
B00690048,50.600885,4.317209,70010
B00690048,50.600956,4.334621,10017
B00690048,50.600997,4.330367,20003
B00690048,50.601061,4.317248,70011
B00690048,50.601093,4.331574,20001
B00690048,50.601101,4.331570,10035
B00690048,50.601113,4.334647,10018
B00690048,50.601115,4.331630,10034
B00690048,50.601219,4.332100,10033
B00690048,50.601242,4.317279,70012
B00690048,50.601272,4.334661,10019
B00690048,50.601384,4.334666,10020
B00690048,50.601392,4.332854,10032
B00690048,50.601393,4.317289,70013
B00690048,50.601429,4.333001,10031
B00690048,50.601472,4.334625,10021
B00690048,50.601531,4.334573,10022
B00690048,50.601542,4.317276,70014
B00690048,50.601567,4.334517,10023
B00690048,50.601600,4.334452,10024
B00690048,50.601606,4.333769,10030
B00690048,50.601610,4.333793,10029
B00690048,50.601625,4.334362,10025
B00690048,50.601641,4.333997,10028
B00690048,50.601644,4.334240,10026
B00690048,50.601653,4.334104,10027
B00690048,50.601683,4.317255,70015
B00690048,50.601755,4.317308,70016
B00690048,50.602019,4.317235,70017
B00690048,50.602019,4.317235,80001
B00690048,50.602199,4.317185,80002
B00690048,50.602309,4.317150,80003
B00690048,50.602341,4.317138,80004
B00690048,50.602713,4.317026,80005
B00690048,50.602773,4.316941,80006
B00690048,50.603605,4.316734,80007
B00690048,50.603738,4.316712,80008
B00690048,50.603832,4.316726,80009
B00690048,50.603864,4.316742,80010
B00690048,50.603977,4.316816,80011
B00690048,50.604507,4.317139,80012
B00690048,50.604636,4.317212,80013
B00690048,50.605390,4.317685,80014
B00690048,50.605462,4.317738,80015
B00690048,50.605563,4.317821,80016
B00690048,50.605686,4.317960,80017
B00690048,50.605936,4.318246,80018
B00690048,50.605936,4.318246,90001
B00690048,50.606094,4.318428,90002
B00690048,50.606462,4.318864,90003
B00690048,50.607710,4.320356,90004
B00690048,50.607737,4.320474,90005
B00690048,50.607814,4.320596,90006
B00690048,50.607920,4.320712,90007
B00690048,50.607997,4.320779,90008
B00690048,50.608091,4.320832,90009
B00690048,50.608149,4.320857,90010
B00690048,50.608257,4.320904,90011
B00690048,50.608357,4.320949,90012
B00690048,50.608470,4.320984,90013
B00690048,50.608516,4.320988,90014
B00690048,50.608534,4.320990,100001
B00690048,50.608534,4.320990,90015
B00690048,50.608630,4.320994,100002
B00690048,50.608900,4.321005,100003
B00690048,50.608947,4.320958,100004
B00690048,50.609294,4.320961,100005
B00690048,50.610844,4.320907,100006
B00690048,50.611169,4.320888,100007
B00690048,50.611409,4.320885,100008
B00690048,50.611671,4.320894,100009
B00690048,50.611876,4.320912,100010
B00690048,50.612030,4.320933,100011
B00690048,50.612173,4.320951,100012
B00690048,50.612601,4.320956,100013
B00690048,50.612621,4.320982,100014
B00690048,50.612662,4.320990,100015
B00690048,50.612827,4.321027,100016
B00690048,50.612827,4.321027,110001
B00690048,50.613051,4.321077,110002
B00690048,50.613069,4.321111,110003
B00690048,50.613092,4.321138,110004
B00690048,50.613119,4.321155,110005
B00690048,50.613131,4.321156,110006
B00690048,50.613153,4.321159,110007
B00690048,50.613177,4.321155,110008
B00690048,50.613204,4.321138,110009
B00690048,50.613228,4.321111,110010
B00690048,50.613246,4.321077,110011
B00690048,50.613256,4.321036,110012
B00690048,50.613258,4.321015,110013
B00690048,50.613602,4.320814,110014
B00690048,50.613673,4.320771,110015
B00690048,50.613698,4.320728,110016
B00690048,50.613783,4.320684,110017
B00690048,50.613818,4.320665,110018
B00690048,50.614014,4.320563,110019
B00690048,50.614272,4.320398,110020
B00690048,50.614561,4.320201,110021
B00690048,50.614716,4.320091,110022
B00690048,50.615041,4.319904,110023
B00690048,50.615169,4.319851,110024
B00690048,50.615380,4.319759,110025
B00690048,50.615624,4.319717,110026
B00690048,50.615758,4.319698,110027
B00690048,50.615896,4.319695,110028
B00690048,50.616100,4.319699,110029
B00690048,50.616285,4.319737,110030
B00690048,50.616415,4.319772,110031
B00690048,50.616633,4.319857,110032
B00690048,50.616844,4.319977,110033
B00690048,50.616844,4.319977,120001
B00690048,50.617471,4.320334,120002
B00690048,50.617827,4.320552,120003
B00690048,50.618166,4.320768,120004
B00690048,50.618671,4.321072,120005
B00690048,50.618759,4.321121,120006
B00690048,50.618953,4.321238,120007
B00690048,50.619087,4.321294,120008
B00690048,50.619179,4.321334,120009
B00690048,50.619461,4.321418,120010
B00690048,50.620001,4.321527,120011
B00690048,50.620054,4.321528,120012
B00690048,50.620254,4.321604,120013
B00690048,50.620505,4.321644,120014
B00690048,50.620706,4.321693,120015
B00690048,50.620711,4.321725,120016
B00690048,50.620719,4.321768,120017
B00690048,50.620746,4.321862,120018
B00690048,50.620793,4.321926,120019
B00690048,50.620806,4.321934,120020
B00690048,50.620847,4.321961,120021
B00690048,50.620888,4.321970,120022
B00690048,50.620941,4.321960,120023
B00690048,50.620993,4.321947,120024
B00690048,50.621019,4.321920,120025
B00690048,50.621034,4.321900,120026
B00690048,50.621052,4.321872,120027
B00690048,50.621067,4.321849,120028
B00690048,50.621081,4.321828,120029
B00690048,50.621097,4.321789,120030
B00690048,50.621243,4.321811,120031
B00690048,50.621570,4.321890,120032
B00690048,50.621657,4.321833,120033
B00690048,50.622726,4.322065,120034
B00690048,50.624982,4.322681,120035
B00690048,50.625144,4.322746,120036
B00690048,50.625216,4.322765,120037
B00690048,50.625216,4.322765,130001
B00690048,50.625589,4.322870,130002
B00690048,50.625601,4.322933,130003
B00690048,50.625621,4.323001,130004
B00690048,50.625643,4.323043,130005
B00690048,50.625653,4.323062,130006
B00690048,50.625704,4.323111,130007
B00690048,50.625733,4.323120,130008
B00690048,50.625791,4.323127,130009
B00690048,50.625837,4.323115,130010
B00690048,50.625879,4.323080,130011
B00690048,50.625894,4.323068,130012
B00690048,50.625903,4.323061,130013
B00690048,50.625921,4.323035,130014
B00690048,50.625926,4.323023,130015
B00690048,50.625935,4.323003,130016
B00690048,50.625951,4.322958,130017
B00690048,50.625967,4.322895,130018
B00690048,50.626084,4.322873,130019
B00690048,50.626356,4.322826,130020
B00690048,50.626487,4.322770,130021
B00690048,50.626886,4.322706,130022
B00690048,50.627290,4.322638,130023
B00690048,50.628055,4.322510,130024
B00690048,50.628410,4.322478,130025
B00690048,50.628607,4.322472,130026
B00690048,50.628738,4.322469,130027
B00690048,50.628889,4.322478,130028
B00690048,50.629113,4.322516,130029
B00690048,50.629322,4.322562,130030
B00690048,50.629567,4.322634,130031
B00690048,50.629670,4.322676,130032
B00690048,50.629670,4.322676,140001
B00690048,50.629732,4.322702,140002
B00690048,50.629860,4.322762,140003
B00690048,50.630507,4.323085,140004
B00690048,50.632052,4.323940,140005
B00690048,50.632295,4.324094,140006
B00690048,50.632428,4.324158,140007
B00690048,50.632521,4.324199,140008
B00690048,50.632703,4.324244,140009
B00690048,50.632846,4.324276,140010
B00690048,50.632890,4.324280,140011
B00690048,50.632964,4.324287,140012
B00690048,50.632994,4.324289,140013
B00690048,50.632994,4.324289,150001
B00690048,50.633105,4.324296,150002
B00690048,50.633406,4.324294,150003
B00690048,50.633596,4.324287,150004
B00690048,50.633655,4.324292,150005
B00690048,50.633722,4.324296,150006
B00690048,50.634913,4.324278,150007
B00690048,50.635007,4.324277,150008
B00690048,50.635101,4.324273,150009
B00690048,50.635160,4.324271,150010
B00690048,50.636081,4.324256,150011
B00690048,50.636273,4.324222,150012
B00690048,50.636427,4.324184,150013
B00690048,50.636604,4.324121,150014
B00690048,50.636784,4.324035,150015
B00690048,50.636947,4.323943,150016
B00690048,50.637085,4.323852,150017
B00690048,50.637183,4.323776,150018
B00690048,50.637314,4.323670,150019
B00690048,50.637415,4.323573,150020
B00690048,50.637522,4.323470,150021
B00690048,50.637589,4.323402,150022
B00690048,50.637712,4.323259,150023
B00690048,50.637745,4.323218,150024
B00690048,50.637865,4.323092,150025
B00690048,50.638027,4.322907,150026
B00690048,50.638448,4.322358,150027
B00690048,50.638912,4.321818,150028
B00690048,50.639057,4.321658,150029
B00690048,50.639353,4.321366,150030
B00690048,50.639545,4.321212,150031
B00690048,50.639979,4.320925,150032
B00690048,50.639979,4.320925,160001
B00690048,50.640473,4.320599,160002
B00690048,50.640601,4.320506,160003
B00690048,50.640799,4.320348,160004
B00690048,50.640918,4.320242,160005
B00690048,50.641256,4.319907,160006
B00690048,50.641426,4.319792,160007
B00690048,50.641776,4.319430,160008
B00690048,50.642278,4.318909,160009
B00690048,50.642357,4.318802,160010
B00690048,50.642457,4.318670,160011
B00690048,50.642591,4.318459,160012
B00690048,50.642730,4.318009,170003
B00690048,50.642773,4.318159,160013
B00690048,50.642773,4.318159,170004
B00690048,50.642784,4.317943,170002
B00690048,50.642864,4.318015,160014
B00690048,50.642864,4.318015,170005
B00690048,50.642907,4.317967,160015
B00690048,50.642907,4.317967,170006
B00690048,50.642927,4.317806,160022
B00690048,50.642927,4.317806,170001
B00690048,50.642947,4.317786,160021
B00690048,50.642986,4.317880,160016
B00690048,50.642986,4.317880,170007
B00690048,50.643032,4.317834,160017
B00690048,50.643032,4.317834,170008
B00690048,50.643078,4.317787,160018
B00690048,50.643078,4.317787,170009
B00690048,50.643146,4.317593,160020
B00690048,50.643197,4.317664,160019
B00690048,50.643197,4.317664,170010
