trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:35:00,07:35:00,Bwatmsj8,4,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:35:00,07:35:00,Bwatms09,5,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:38:00,07:38:00,Clpalli1,6,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:42:00,07:42:00,Cglbras1,7,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:44:00,07:44:00,Bgnpchb1,8,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:54:00,07:54:00,Bcsebea3,9,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,07:59:00,07:59:00,Bllnpaf2,10,0,0
45975318-B_2025-BW_A_P4-Sem-Vac-01,08:01:00,08:01:00,Bllngr04,11,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:27:00,08:27:00,Bblagr03,1,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:30:00,08:30:00,Bblamsj2,2,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:32:00,08:32:00,Bblacco2,3,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:36:00,08:36:00,Bwatmsj8,4,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:36:00,08:36:00,Bwatms09,5,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:39:00,08:39:00,Clpalli1,6,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:43:00,08:43:00,Cglbras1,7,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:45:00,08:45:00,Bgnpchb1,8,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:55:00,08:55:00,Bcsebea3,9,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,08:59:00,08:59:00,Bllnpaf2,10,0,0
45975319-B_2025-BW_A_P4-Sem-Vac-01,09:01:00,09:01:00,Bllngr04,11,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:47:00,09:47:00,Bblagr03,1,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:49:00,09:49:00,Bblamsj2,2,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:51:00,09:51:00,Bblacco2,3,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:55:00,09:55:00,Bwatmsj8,4,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:55:00,09:55:00,Bwatms09,5,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,09:58:00,09:58:00,Clpalli1,6,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,10:02:00,10:02:00,Cglbras1,7,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,10:04:00,10:04:00,Bgnpchb1,8,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,10:14:00,10:14:00,Bcsebea3,9,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,10:18:00,10:18:00,Bllnpaf2,10,0,0
45975320-B_2025-BW_A_P4-Sem-Vac-01,10:20:00,10:20:00,Bllngr04,11,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:47:00,10:47:00,Bblagr03,1,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:49:00,10:49:00,Bblamsj2,2,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:51:00,10:51:00,Bblacco2,3,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:55:00,10:55:00,Bwatmsj8,4,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:55:00,10:55:00,Bwatms09,5,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,10:58:00,10:58:00,Clpalli1,6,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,11:02:00,11:02:00,Cglbras1,7,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,11:04:00,11:04:00,Bgnpchb1,8,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,11:14:00,11:14:00,Bcsebea3,9,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,11:18:00,11:18:00,Bllnpaf2,10,0,0
45975321-B_2025-BW_A_P4-Sem-Vac-01,11:20:00,11:20:00,Bllngr04,11,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:47:00,11:47:00,Bblagr03,1,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:49:00,11:49:00,Bblamsj2,2,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:51:00,11:51:00,Bblacco2,3,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:55:00,11:55:00,Bwatmsj8,4,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:55:00,11:55:00,Bwatms09,5,0,0
45975322-B_2025-BW_A_P4-Sem-Vac-01,11:58:00,11:58:00,Clpalli1,6,0,0
